code,description,last_updated
538955011,[D]Loss of voice,2025-09-01
502802012,Complex partial seizure with impairment of consciousness at onset,2025-09-01
830608018,Mesembryanthemum (organism),2025-09-01
2546911019,Erythrocyte osmotic fragility (observable entity),2025-09-01
2574581014,Surgical drain route (qualifier value),2025-09-01
2990407012,Sphingobacterium daejeonense (organism),2025-09-01
3463405019,Entire pectoralis major muscle and tendon,2025-09-01
3083266012,Ioxitalamate meglumine (substance),2025-09-01
3656917010,Product containing glyceryl monothioglycolate (medicinal product),2025-09-01
2762552011,Hermansky-Pudlack syndrome (disorder),2025-09-01
3974507010,Dichloroacetamide adverse reaction,2025-09-01
372339017,Percussion dullness below costal margin,2025-09-01
2946114010,Medical device integration rack (physical object),2025-09-01
2673905018,Bone tissue of first metatarsal,2025-09-01
64851013,"Thoracoscopic pleurodesis, NOS",2025-09-01
197031014,Operation on carotid body,2025-09-01
622149015,Supraventricular tachycardia with functional bundle branch block (disorder),2025-09-01
2898979018,Postauricular hemangioma (disorder),2025-09-01
3903123015,Stiripentol 250 mg oral capsule,2025-09-01
333871017,"[X]Exposure to other and unspecified man-made environmental factors, occurrence at other specified place",2025-09-01
5307175015,Repair of right patellar ligament,2025-09-01
211361011,Spanish goat,2025-09-01
2942040016,Rewritable CD,2025-09-01
286806019,Virus encephalitis: (OS mosquito borne) or (Ilheus),2025-09-01
300677016,Deep vein thrombophlebitis of the leg unspecified,2025-09-01
3776892019,Induction and maintenance of total body hypothermia (procedure),2025-09-01
2532313013,Suicide or self injury by igniting gasoline soaked clothing,2025-09-01
2720986018,Somatoform disorder (disorder),2025-09-01
155859018,"Metastatic malignant neoplasm to bone of lower limb, NOS",2025-09-01
2762400012,Non-European travel (finding),2025-09-01
4569789015,Sulfate salt modified diet,2025-09-01
616592018,bottles/feed (qualifier value),2025-09-01
3297983011,Multiple drug-resistant Escherichia coli (organism),2025-09-01
162872011,12 MONTH FLEA COLLAR (Dogs),2025-09-01
366351016,Acute amoebic dysentery without abscess,2025-09-01
1204681018,Ram epididymitis bacterin (product),2025-09-01
3078217017,Atherectomy angioplasty system lubricant,2025-09-01
3302858015,"Phocomelia, ectrodactyly, deafness and sinus arrhythmia syndrome (disorder)",2025-09-01
303403010,CAH - Chronic active hepatitis,2025-09-01
2949060011,Eye movement analysis system (physical object),2025-09-01
5069962017,Structure of tendon within left forearm,2025-09-01
345824011,Creation of shunt from intracranial subdural space,2025-09-01
4565441019,Embolism of bilateral middle cerebral arteries,2025-09-01
1762545012,Salmonella Vilvoorde (organism),2025-09-01
305997010,Herpes gestationis - delivered with postnatal complication,2025-09-01
1234182013,"Insect bite, nonvenomous, of shoulder, infected",2025-09-01
169357018,Strontium measurement,2025-09-01
3543004013,Bone structure of right half of pelvis,2025-09-01
3944804017,Keratitis of bilateral eyes caused by Acanthamoeba,2025-09-01
3699472014,Atropine sulfate 25 microgram and diphenoxylate hydrochloride 2.5 mg oral tablet,2025-09-01
2546033019,Transforaminal approach (qualifier value),2025-09-01
1017391000124117,Education about TNC (transportation network company) program,2025-09-01
3302016017,Negative screening for depression on PHQ-9,2025-09-01
607879011,"[X]Threat to breathing due to cave-in, falling earth and other substances, occurrence at unspecified place (finding)",2025-09-01
3009890011,Coagulation 1:1 saline mixture technique (qualifier value),2025-09-01
561552016,Primary anterior excision of lumbar disc and posterior instrumentation (procedure),2025-09-01
3993516014,Bilateral retinopathy of prematurity of eyes stage 4 - subtotal retinal detachment,2025-09-01
5084397015,Metastatic malignant neoplasm to bilateral kidneys,2025-09-01
3286657014,Bacillus hemicellulosilyticus (organism),2025-09-01
4569980014,Left vertebral artery injury,2025-09-01
62507013,C>9< complement assay,2025-09-01
389051015,Red bryony,2025-09-01
316520013,Lateral thoracic vein,2025-09-01
752594016,Prostacyclin synthase (substance),2025-09-01
2569509014,"[X]Motorcycle rider injured in collision with railway train or railway vehicle, unspecified motorcycle rider injured in nontraffic accident (event)",2025-09-01
2638310016,Trunk position finding (finding),2025-09-01
3295486010,Septic shock co-occurrent with acute organ dysfunction caused by Haemophilus influenzae (disorder),2025-09-01
4574333010,Computed tomography sagittal,2025-09-01
4011614017,Simpla 30mL balloon 20Ch 366220 2-way all-silicone female length urethral Foley catheter (physical object),2025-09-01
1156611000124117,Standardized assessment of personality - abbreviated scale (assessment scale),2025-09-01
637001000124114,Calculus of common bile duct with acute pancreatitis,2025-09-01
152107015,"Internal anatomical feature, NOS",2025-09-01
1764515013,"pT4a: Tumor invades through the thyroid cartilage and/or invades tissues beyond the larynx (e.g., trachea, soft tissues of the neck including deep extrinsic muscle of the tongue, strap muscles, thyroid, or esophagus) (larynx, supraglottis) (finding)",2025-09-01
2730870018,Pneumococcal IgG level (procedure),2025-09-01
120812013,"Disease of teeth, NOS",2025-09-01
5365619014,CT of retroperitoneum,2025-09-01
332512016,"[X]Occupant of heavy transport vehicle injured in noncollision transport accident, unspecified occupant of heavy transport vehicle injured in nontraffic accident",2025-09-01
494989010,"Salmonella 6,8;a;e,n,x",2025-09-01
810865010,Dimethylallylcistransferase (substance),2025-09-01
720735012,Hydrocortisone acetate [eye] (substance),2025-09-01
323428013,Superficial burn of the leg NOS,2025-09-01
443900018,Femoral popliteal occlusion,2025-09-01
1781795019,Pruritic scalp dermatosis,2025-09-01
2711934016,Retired procedure (procedure),2025-09-01
2616798011,Acacia,2025-09-01
355425012,Normal menopause,2025-09-01
70373015,Hospital-based radiotherapy facility,2025-09-01
758097013,Incudopexy (procedure),2025-09-01
727893014,Deficiency of asparagine-oxo-acid aminotransferase (disorder),2025-09-01
1198165015,Non-selective beta-blocking agent (substance),2025-09-01
148743015,Neoplasm of base of tongue,2025-09-01
3311706014,Sclerotherapy foam preparation kit (physical object),2025-09-01
519076017,O/E - abdominal scar,2025-09-01
708780019,Cephalic vein graft (substance),2025-09-01
83404017,Phytochrome,2025-09-01
415708014,Emotional deprivation of child,2025-09-01
440858016,Extensor plantar response left,2025-09-01
204080012,Deficiency of guanidinoacetate kinase,2025-09-01
3502027010,Imatinib 100 mg oral tablet,2025-09-01
390628013,Haematoma of floor of mouth,2025-09-01
51456011,Lymphadenopathy,2025-09-01
576659018,Parkinsonism with orthostatic hypotension (disorder),2025-09-01
2765922017,Family history of juvenile rheumatoid arthritis,2025-09-01
2966832015,Legal termination of pregnancy complicated by delayed and/or excessive haemorrhage,2025-09-01
776886018,General outpatient clinic admission (procedure),2025-09-01
305120019,Hemorrhagic septicemia due to Pasteurella multocida,2025-09-01
101835012,"Poisoning by venomous snake, NOS",2025-09-01
1206443016,Finding of colour of pinna,2025-09-01
2708232011,Nocardia pneumoniae (organism),2025-09-01
3665903014,Vinblastine product,2025-09-01
241942012,Dropsy,2025-09-01
2733906013,Twin (person),2025-09-01
3739769015,Doripenem only product in parenteral dose form,2025-09-01
427105019,Peripheral nerve surgical biopsy,2025-09-01
1491657013,NAS - No added sugar diet,2025-09-01
241756019,Rheumatic mitral disease NOS,2025-09-01
142118011,Percina macrolepida,2025-09-01
136899016,Sequestrectomy of wrist,2025-09-01
544406016,On examination - no abd.pain on palpation (context-dependent category),2025-09-01
440491016,Subtalar joint crepitus,2025-09-01
42687014,Coated particle agglutination inhibition assay,2025-09-01
72036017,"Normal appearance, NOS",2025-09-01
630384012,Tracheoesophageal fistula X-ray study (procedure),2025-09-01
3757107011,"Severe microbrachycephaly, intellectual disability, athetoid cerebral palsy syndrome",2025-09-01
5444160015,Ventriculopleural shunt in situ,2025-09-01
250629010,Domiciliary occupational therapy,2025-09-01
573915019,Other specified diabetes mellitus with ophthalmic complications (disorder),2025-09-01
98361010,Actinium radioisotope,2025-09-01
539233019,"[D]Zinc, blood level abnormal",2025-09-01
351126012,Secondary red cell aplasia NEC,2025-09-01
361687017,CT of musculoskeletal system structures,2025-09-01
445824010,Surgical biopsy of conjunctiva,2025-09-01
784131011,Elevation of orbital bone fragments of maxillary sinus (procedure),2025-09-01
2154475014,Beclometasone dipropionate 250micrograms inhaler,2025-09-01
3743411016,Product containing only zinc sulfate in ocular dose form (medicinal product form),2025-09-01
3745951012,4-aminobutyrate - 2-oxoglutarate transaminase inhibitor-containing product,2025-09-01
104410014,Transverse,2025-09-01
308765016,Entire mediastinal part of medial surface of lung,2025-09-01
3722836015,Gangrene co-occurrent and due to perineal hernia (disorder),2025-09-01
677334013,Pellet wound of nose (disorder),2025-09-01
5436056016,Reamputation of upper limb through humerus (procedure),2025-09-01
418801010,Entire inferior nasal retinal vein,2025-09-01
2693201000000113,Does do laundry,2025-09-01
2532559011,Henoch-Schönlein purpura,2025-09-01
5049250017,American Joint Committee on Cancer stage III:2 (qualifier value),2025-09-01
746690014,Dorsal sac of rumen (body structure),2025-09-01
2688274017,Calcipotriene 0.005%/betamethasone 0.064% topical ointment (product),2025-09-01
303289014,Haemoperitoneum - non-traumatic,2025-09-01
682928014,Does communicate (finding),2025-09-01
96940018,Rescheduled,2025-09-01
551498016,Parent craft -individual class (finding),2025-09-01
2562440015,Fall in train (event),2025-09-01
2609997017,Dynamic condylar screw (DCS) plate (physical object),2025-09-01
2621542010,C3F3 - Perfluoropropane,2025-09-01
93678014,Infection by Trichomonas,2025-09-01
590642010,Other undergrowth of limb NOS (disorder),2025-09-01
2938511018,Unicondylar knee insert (physical object),2025-09-01
3330002017,"Lung fibrosis, immunodeficiency, 46,XX gonadal dysgenesis syndrome",2025-09-01
5381305015,Viral arthritis of joint of both hands,2025-09-01
5448359013,Bilateral retinal pseudocyst,2025-09-01
4361951013,Open transposition of left subclavian artery to carotid artery with endovascular repair of descending thoracic aorta by neck incision,2025-09-01
312627019,[X]Other specified intervertebral disc disorders,2025-09-01
627664011,Juvenile acne (disorder),2025-09-01
2638296012,Powys health authority (environment),2025-09-01
5274411014,Extended spectrum beta-lactamase producing Enterobacterales not isolated (finding),2025-09-01
741270012,Glycerol-3-phosphate 1-dehydrogenase (NADP^+^) (substance),2025-09-01
28150019,Pneumohaemothorax,2025-09-01
3528935013,Product containing hydralazine and hydrochlorothiazide,2025-09-01
3331885014,Somatic dysfunction of lumbosacral region,2025-09-01
692273011,Intentional procainamide overdose (disorder),2025-09-01
697031000124114,Otolaryngology service (qualifier value),2025-09-01
2670779015,"Tonic contraction of sphincter choledochus, function",2025-09-01
279146017,Introduction of radioactive caesium into organ NOC,2025-09-01
3667200015,Dodecyl gallate product,2025-09-01
252675012,Incontinent of faeces (& symptom),2025-09-01
4592923016,Entire tendon of wrist region,2025-09-01
5453916019,Acute lymphangitis of left hip,2025-09-01
474966014,Glucuronate-2-sulphatase,2025-09-01
2970879010,Leucine-transfer ribonucleic acid ligase (substance),2025-09-01
2577383016,Fluoroscopic cystometrography,2025-09-01
1461446019,Prednisolone ophthalmic preparation (substance),2025-09-01
185142018,Arbovirus culture,2025-09-01
592533017,[D]Hyponasality (context-dependent category),2025-09-01
411519019,H/O: stroke,2025-09-01
704985013,Referral to physiotherapist (procedure),2025-09-01
771021014,Hydromyelocele (disorder),2025-09-01
5418188011,Saccharomycodales,2025-09-01
422962010,Ability to bang objects together,2025-09-01
638128019,Attempts to promote omnipotence (finding),2025-09-01
3758068016,Autosomal recessive severe congenital neutropenia due to CXCR2 (C-X-C motif chemokine receptor 2) deficiency,2025-09-01
396550010,Diaphragmatic hiatus hernia,2025-09-01
753736011,Retired procedure,2025-09-01
3676247015,Product containing precisely acetohexamide 500 milligram/1 each conventional release oral tablet,2025-09-01
33642019,Urease,2025-09-01
2715279017,(Guilty ideas) or (pathological guilt) (finding),2025-09-01
435042018,Sex hormones allergy,2025-09-01
2741777018,Stoma adhesive spray (product),2025-09-01
272202017,Subfascial ligation of vein: [perforating] or [varicose] or [Cockett],2025-09-01
356998015,Severe systemic illness-induced cutaneous atrophy,2025-09-01
359464017,Scleroderma variant,2025-09-01
1477465015,[D]Symbolic disturbance NOS,2025-09-01
5381324017,Infective arthritis of hand caused by virus,2025-09-01
309504012,Post-dysenteric reactive arthropathy NOS,2025-09-01
820891010,Cauterization of subcutaneous tissue (procedure),2025-09-01
3036272017,Increased incisal display at rest,2025-09-01
3015442014,History of penis injury,2025-09-01
2971124010,Chlamydia pneumoniae ribonucleic acid,2025-09-01
4596346011,Closed traumatic dislocation of distal interphalangeal joint of second digit of right hand,2025-09-01
433895019,Antidiarrhoeal drug allergy,2025-09-01
195118015,EEG during carotid surgery,2025-09-01
3297657016,Amodiaquine + artesunate,2025-09-01
490460014,Under care of community alcohol team,2025-09-01
375027011,Uncrossed diplopia,2025-09-01
564396019,Mastoid (& attic) (& attic),2025-09-01
627077015,Destruction of lesion of abdominal wall (procedure),2025-09-01
704102010,Extracranial transection of trigeminal nerve (procedure),2025-09-01
3296009018,Adverse reaction caused by phytomenadione,2025-09-01
2974612017,Blood glucose test declined (situation),2025-09-01
56703014,"Non-domestic avian, NOS",2025-09-01
1186507014,Folinic acid (product),2025-09-01
252350016,No cough,2025-09-01
2971573013,Mumps virus ribonucleic acid (substance),2025-09-01
3295360018,Allergic rhinitis caused by animals (disorder),2025-09-01
283319018,Muscular re-education NOS,2025-09-01
633256015,Poxvirus group (organism),2025-09-01
3499496014,"Hereditary congenital hypomelanotic and hypermelanotic cutaneous macules, growth retardation, intellectual disability syndrome",2025-09-01
15878015,Hypertonic bladder,2025-09-01
661154013,Lymph node biopsy: [surgical] or [cervical],2025-09-01
1213135019,Corticorelin ovine 100mcg powder,2025-09-01
2549035010,Consultation for unaccompanied minor,2025-09-01
2471411011,Post-vaccination precautions for smallpox,2025-09-01
829820014,Open wound of ear without complication (disorder),2025-09-01
719592015,Anti-myelin basic protein antibody (substance),2025-09-01
213907013,Diphosphoric monoester hydrolase -RETIRED-,2025-09-01
2473266017,Casein extract,2025-09-01
1475205016,VITAMIN B12 CYANOCOBALAMIN 3X (product),2025-09-01
2722927016,"Contusion, genital organs (disorder)",2025-09-01
2768444017,Intracardiac ultrasonography,2025-09-01
4596329013,Closed traumatic dislocation of distal interphalangeal joint of left index finger,2025-09-01
5465487012,Structural abnormality of middle phalanx of lesser toe,2025-09-01
2920645014,Syndrome of inappropriate antidiuretic hormone secretion,2025-09-01
2157298013,High airway pressure,2025-09-01
5448598016,Shaffer gonioscopy grading system degree of angle openness grade 2 (qualifier value),2025-09-01
460691017,[V]Presence of other bone and tendon implants,2025-09-01
3532533012,Balance-training tongue electrical stimulation system,2025-09-01
366898017,Entire thoracic esophagus,2025-09-01
144238018,Bird tongue,2025-09-01
167682017,Blood group typing A>1<,2025-09-01
288142018,"[X]Arenaviral haemorrhagic fever, unspecified",2025-09-01
1457067017,Ceftazidime 3g powder for injection solution vial (product),2025-09-01
1495419013,Great-grandchild,2025-09-01
341804018,Punjabi black-eye bean curry,2025-09-01
2841076018,"pT2b: Tumour more than 5 cm in greatest dimension, deep tumour (extraosseous primitive neuroectodermal tumor/Ewing sarcoma)",2025-09-01
410673013,DRE - Digital rectal examination,2025-09-01
5309433017,Iodothyronine,2025-09-01
433681015,Bumetanide adverse reaction,2025-09-01
2871617011,Dendrocolaptidae,2025-09-01
499745018,Kidney structure,2025-09-01
561687010,Revision to open reduction spinal fracture and other internal fixation (procedure),2025-09-01
3446623016,Malignant neoplasm of breast (disorder),2025-09-01
3735687016,Tegafur only product,2025-09-01
2579036015,Kit,2025-09-01
3023493019,Supernumerary deciduous mandibular left lateral incisor tooth (disorder),2025-09-01
730148014,Intermediate-acting insulin preparation (substance),2025-09-01
44667014,"Endometriosis of pelvis, NOS",2025-09-01
2718645011,Retired procedure (procedure),2025-09-01
3761803015,Product containing precisely metformin hydrochloride 1 gram and saxagliptin (as saxagliptin hydrochloride) 5 milligram/1 each prolonged-release oral tablet (clinical drug),2025-09-01
2620513010,Ultrasound scan of musculoskeletal system,2025-09-01
2738424017,Calcium channel blocker indicated (situation),2025-09-01
54391015,Scarus coelestinus,2025-09-01
2956576017,Chronic respiratory disease questionnaire dyspnea subscale score,2025-09-01
3679299017,Glyburide micronized 4.5 mg oral tablet,2025-09-01
304519010,Sperm granuloma of spermatic cord,2025-09-01
2817473018,Chlorhexidine acetate,2025-09-01
232128015,Advice about foot care,2025-09-01
700731011,Pulsed electromagnetic energy to foot (procedure),2025-09-01
121037014,Articular process of vertebra,2025-09-01
422591018,Injury of thoracic cavity,2025-09-01
562218018,Removal of external fixator NEC (procedure),2025-09-01
2467524016,Adefovir (substance),2025-09-01
4596902012,Terbinafine (as terbinafine hydrochloride) 10 mg/g cutaneous gel,2025-09-01
799610013,Structure of tendon insertion (body structure),2025-09-01
2569593018,"[X]Drowning and submersion following fall into bath-tub, occurrence at unspecified place (event)",2025-09-01
402737011,Psychotic cond. insight preset,2025-09-01
10455019,Prophila,2025-09-01
30281013,"Hb 97(G4), Asn-lys",2025-09-01
2742341013,Single photon emission computed tomography of parathyroid using technetium 99m thallium 201 (procedure),2025-09-01
44410012,Hyperacute graft rejection,2025-09-01
46038014,Division of tendon of hand,2025-09-01
232159018,Bacterial disease screening,2025-09-01
813123019,Chymopapain (substance),2025-09-01
2991642014,Total reverse shoulder prosthesis,2025-09-01
28741011,Foam cell,2025-09-01
156742013,Metastatic malignant neoplasm to skin of lip,2025-09-01
3025130012,Peripheral angioplasty catheter (physical object),2025-09-01
2750560016,Pregnancy with genitourinary infections (& UTI [& cystitis]) (disorder),2025-09-01
170335018,"Anxiolytic, sedative AND/OR hypnotic",2025-09-01
3324490012,Oesophageal duplication cyst,2025-09-01
3448869014,Uniparental disomy (disorder),2025-09-01
3789694011,Multiple anomalies of foetus,2025-09-01
4625221011,Structure of paralumbar fossa (body structure),2025-09-01
2750673011,Other mycoses (& [aspergillosis] or [coccidioidomycosis] or [histoplasmosis] or [piedra] or [sporotrichosis]) (disorder),2025-09-01
626951000124110,"Migrating partial seizures in infancy, intractable",2025-09-01
785261000124113,Puncture wound of left great toe (disorder),2025-09-01
538457010,Foreign body: [left in body] or [accident],2025-09-01
2465001018,MacConkey agar (substance),2025-09-01
3650285014,Product containing cobalt-58,2025-09-01
1769897010,Ribbed cotton and viscose surgical tubular stockinette BP 1988 type A lightweight 25cm (physical object),2025-09-01
637031000124118,Right vesicoureteric junction (body structure),2025-09-01
5180668017,Coordination of resources to address elder abuse (procedure),2025-09-01
1195800014,Eosinophilic granuloma complex of animals (disorder),2025-09-01
133398010,Ligamentum venosum of liver,2025-09-01
3456917015,Entire inferolateral wall of bladder,2025-09-01
3657776013,Sexually attracted to male and female sex,2025-09-01
3767201015,Lanthanum carbonate only product in oral dose form,2025-09-01
4593781018,Structure of ligament of interphalangeal joint of little finger (body structure),2025-09-01
458861011,Pseudophakic retinal detachment,2025-09-01
439605017,No active range of shoulder extension,2025-09-01
461006012,[V]Other specified psychological or physical strain,2025-09-01
2772637013,Haemorrhage of skin in neonate,2025-09-01
385760011,/day,2025-09-01
270041018,Massage of rectum,2025-09-01
1765532016,Suspected central nervous system cancer (context-dependent category),2025-09-01
486216015,Equine infectious anaemia antibody test kit,2025-09-01
2793366019,Bovine rhinotracheitis - virus diarrhoea - parainfluenza 3 - respiratory syncytial virus vaccine - campylobacter fetus leptospira canicola - grippotyphosa - hardjo - icterohaemorrhagiae - pomona bacterin,2025-09-01
791861019,Mechanical strabismus (disorder),2025-09-01
531627019,Admit haematology emergency,2025-09-01
5249591018,Hematoma of left first toe,2025-09-01
2959794013,Abrasion and/or friction burn of shoulder without infection,2025-09-01
5067659013,Acute lower extremity ischaemia,2025-09-01
182498017,Mycoplasma falconis,2025-09-01
576132010,Superinfection (disorder),2025-09-01
2670871011,HLA-DQ3 antigen,2025-09-01
443541019,Lower lid retraction,2025-09-01
615878011,Abscess of uvula of palate (disorder),2025-09-01
68150015,"Digital exploration, NOS",2025-09-01
680444015,Does not produce appropriate voice volume (finding),2025-09-01
19406017,Chrome blue black 2B,2025-09-01
571425011,Malignant neoplasm of ectopic site of male breast (disorder),2025-09-01
3703192017,Product containing docusate and glycerol (medicinal product),2025-09-01
313514015,Supradiaphragmatic total anomalous pulmonary venous return,2025-09-01
661101000124113,Gianduja,2025-09-01
796531019,Arthrobacter tumescens (organism),2025-09-01
739856016,Task lighting (physical object),2025-09-01
628266017,Vinyl polymer (substance),2025-09-01
642980018,Lymphocytotoxicity assay using HLA alloantisera (procedure),2025-09-01
2786187014,Sporolactobacillus terrae (organism),2025-09-01
71254010,Trimeresurus flavoviridis,2025-09-01
341849015,Lentil pie,2025-09-01
420882018,Does not initiate running,2025-09-01
418303018,Entire axis of lens,2025-09-01
717500010,Acetylcysteine 2g/10mL injection (substance),2025-09-01
349711010,Popdistal bypass graft,2025-09-01
1470043012,Special care of mouth (regime/therapy),2025-09-01
3510289017,Hepatitis C virus NS3/4A protease inhibitor (disposition),2025-09-01
3690543018,Macular edema co-occurrent and due to type 2 diabetes mellitus,2025-09-01
501340016,Idiopathic fecal incontinence,2025-09-01
3696835010,Levobupivacaine (as levobupivacaine hydrochloride) 250 mg/200 mL solution for infusion bag,2025-09-01
1226343011,Intravenous nutrition (electrolytes/trace elements) adverse reaction (disorder),2025-09-01
169441019,"Counseling by chaplain, NOS",2025-09-01
588742015,Family nectariniidae (organism),2025-09-01
5168244014,Mitochondrial antibodies not detected,2025-09-01
226066010,Pigeon fecal antibody level,2025-09-01
3747348013,Adenosine receptor antagonist,2025-09-01
220845012,C/O cold hands,2025-09-01
663090013,Caribbean I./W.I./Guyana (NMO) (ethnic group),2025-09-01
3033953015,Human immunodeficiency virus 2 DNA,2025-09-01
88913010,Salmonella shoreditch,2025-09-01
445530018,Inferior adrenal artery,2025-09-01
