code,description,last_updated
CG001007Po,licy criteria applied                                                         Po,2025-09-01
CH0010070,"percent impaired, limited or restricted                                       0",2025-09-01
CI001007At,"least 1 percent but less than 20 percent impaired, limited or restricted     1",2025-09-01
CJ001007At,"least 20 percent but less than 40 percent impaired, limited or restricted    20",2025-09-01
CK001007At,"least 40 percent but less than 60 percent impaired, limited or restricted    40",2025-09-01
CL001007At,"least 60 percent but less than 80 percent impaired, limited or restricted    60",2025-09-01
CM001007At,"least 80 percent but less than 100 percent impaired, limited or restricted   80",2025-09-01
CN00100710,"0 percent impaired, limited or restricted                                     10",2025-09-01
CO001007Ou,tpatient occupational therapy services furnished in whole or in part by an    Ou,2025-09-01
CO002008oc,cupational therapy assistant,2025-09-01
CP001007Ad,junctive service related to a procedure assigned to a comprehensive           C-,2025-09-01
CP002008am,"bulatory payment classification (c-apc) procedure, but reported on a",2025-09-01
CP003008di,fferent claim,2025-09-01
CQ001007Ou,tpatient physical therapy services furnished in whole or in part by a         Ou,2025-09-01
CQ002008ph,ysical therapist assistant,2025-09-01
CR001007Ca,tastrophe/disaster related                                                    Ca,2025-09-01
CS001007Co,st-sharing waived for specified covid-19 testing-related services that result Co,2025-09-01
CS002008in,and order for or administration of a covid-19 test and/or used for,2025-09-01
CS003008co,st-sharing waived preventive services furnished via telehealth in rural,2025-09-01
CS004008he,alth clinics and federally qualified health centers during the covid-19,2025-09-01
CS005008pu,blic health emergency,2025-09-01
CT001007Co,mputed tomography services furnished using equipment that does not meet each  Ct,2025-09-01
CT002008of,the attributes of the national electrical manufacturers association (nema),2025-09-01
CT003008xr,-29-2013 standard,2025-09-01
DA001007Or,al health assessment by a licensed health professional other than a dentist   Or,2025-09-01
E1001007Up,"per left, eyelid                                                              Up",2025-09-01
E2001007Lo,"wer left, eyelid                                                              Lo",2025-09-01
E3001007Up,"per right, eyelid                                                             Up",2025-09-01
E4001007Lo,"wer right, eyelid                                                             Lo",2025-09-01
EA001007Er,ythropoietic stimulating agent (esa) administered to treat anemia due to      Es,2025-09-01
EA002008an,ti-cancer chemotherapy,2025-09-01
EB001007Er,ythropoietic stimulating agent (esa) administered to treat anemia due to      Es,2025-09-01
EB002008an,ti-cancer radiotherapy,2025-09-01
EC001007Er,ythropoietic stimulating agent (esa) administered to treat anemia not due to  Es,2025-09-01
EC002008an,ti-cancer radiotherapy or anti-cancer chemotherapy,2025-09-01
ED001007He,matocrit level has exceeded 39% (or hemoglobin level has exceeded 13.0 g/dl)  Hc,2025-09-01
ED002008fo,r 3 or more consecutive billing cycles immediately prior to and including the,2025-09-01
ED003008cu,rrent cycle,2025-09-01
EE001007He,matocrit level has not exceeded 39% (or hemoglobin level has not exceeded     Hc,2025-09-01
EE00200813,.0 g/dl) for 3 or more consecutive billing cycles immediately prior to and,2025-09-01
EE003008in,cluding the current cycle,2025-09-01
EJ001007Su,"bsequent claims for a defined course of therapy, e.g., epo, sodium            Su",2025-09-01
EJ002008hy,"aluronate, infliximab",2025-09-01
EM001007Em,ergency reserve supply (for esrd benefit only)                                Em,2025-09-01
EP001007Se,rvice provided as part of medicaid early periodic screening diagnosis and     Me,2025-09-01
EP002008tr,eatment (epsdt) program,2025-09-01
ER001007It,"ems and services furnished by a provider-based, off-campus emergency          Of",2025-09-01
ER002008de,partment,2025-09-01
ET001007Em,ergency services                                                              Em,2025-09-01
EX001007Ex,patriate beneficiary                                                          Ex,2025-09-01
EY001007No,physician or other licensed health care provider order for this item or      No,2025-09-01
EY002008se,rvice,2025-09-01
F1001007Le,"ft hand, second digit                                                         Le",2025-09-01
F2001007Le,"ft hand, third digit                                                          Le",2025-09-01
F3001007Le,"ft hand, fourth digit                                                         Le",2025-09-01
F4001007Le,"ft hand, fifth digit                                                          Le",2025-09-01
F5001007Ri,"ght hand, thumb                                                               Ri",2025-09-01
F6001007Ri,"ght hand, second digit                                                        Ri",2025-09-01
F7001007Ri,"ght hand, third digit                                                         Ri",2025-09-01
F8001007Ri,"ght hand, fourth digit                                                        Ri",2025-09-01
F9001007Ri,"ght hand, fifth digit                                                         Ri",2025-09-01
FA001007Le,"ft hand, thumb                                                                Le",2025-09-01
FB001007It,"em provided without cost to provider, supplier or practitioner, or full       It",2025-09-01
FB002008cr,"edit received for replaced device (examples, but not limited to, covered",2025-09-01
FB003008un,"der warranty, replaced due to defect, free samples)",2025-09-01
FC001007Pa,rtial credit received for replaced device                                     Pa,2025-09-01
FP001007Se,rvice provided as part of family planning program                             Sv,2025-09-01
FQ001007Th,e service was furnished using audio-only communication technology             Au,2025-09-01
FR001007Th,"e supervising practitioner was present through two-way, audio/video           Tw",2025-09-01
FR002008co,mmunication technology,2025-09-01
FS001007Sp,lit (or shared) evaluation and management visit                               Sp,2025-09-01
FT001007Un,related evaluation and management (e/m) visit on the same day as another e/m  Se,2025-09-01
FT002008vi,"sit or during a global procedure (preoperative, postoperative period, or on",2025-09-01
FT003008th,"e same day as the procedure, as applicable). (report when an e/m visit is",2025-09-01
FT004008fu,"rnished within the global period but is unrelated, or when one or more",2025-09-01
FT005008ad,ditional e/m visits furnished on the same day are unrelated),2025-09-01
FX001007X-,ray taken using film                                                          X-,2025-09-01
FY001007X-,ray taken using computed radiography technology/cassette-based imaging        Co,2025-09-01
G0001007Te,"lehealth services for diagnosis, evaluation, or treatment, of symptoms of an  Te",2025-09-01
G0002008ac,ute stroke,2025-09-01
G1001007Mo,st recent urr reading of less than 60                                         Ur,2025-09-01
G2001007Mo,st recent urr reading of 60 to 64.9                                           Ur,2025-09-01
G3001007Mo,st recent urr reading of 65 to 69.9                                           Ur,2025-09-01
G4001007Mo,st recent urr reading of 70 to 74.9                                           Ur,2025-09-01
G5001007Mo,st recent urr reading of 75 or greater                                        Ur,2025-09-01
G6001007Es,rd patient for whom less than six dialysis sessions have been provided in a   Es,2025-09-01
G6002008mo,nth,2025-09-01
G7001007Pr,egnancy resulted from rape or incest or pregnancy certified by physician as   Pa,2025-09-01
G7002008li,fe threatening,2025-09-01
G8001007Mo,"nitored anesthesia care (mac) for deep complex, complicated, or markedly      Mo",2025-09-01
G8002008in,vasive surgical procedure,2025-09-01
G9001007Mo,nitored anesthesia care for patient who has history of severe                 Ma,2025-09-01
G9002008ca,rdio-pulmonary condition,2025-09-01
GA001007Wa,"iver of liability statement issued as required by payer policy, individual    Li",2025-09-01
GA002008ca,se,2025-09-01
GB001007Cl,aim being re-submitted for payment because it is no longer covered under a    Cl,2025-09-01
GB002008gl,obal payment demonstration,2025-09-01
GC001007Th,is service has been performed in part by a resident under the direction of a  Re,2025-09-01
GC002008te,aching physician,2025-09-01
GD001007Un,its of service exceeds medically unlikely edit value and represents           Un,2025-09-01
GD002008re,asonable and necessary services,2025-09-01
GE001007Th,is service has been performed by a resident without the presence of a         Re,2025-09-01
GE002008te,aching physician under the primary care exception,2025-09-01
GF001007No,"n-physician (e.g. nurse practitioner (np), certified registered nurse         No",2025-09-01
GF002008an,"esthetist (crna), certified registered nurse (crn), clinical nurse specialist",2025-09-01
GF003008(c,"ns), physician assistant (pa)) services in a critical access hospital",2025-09-01
GG001007Pe,rformance and payment of a screening mammogram and diagnostic mammogram on    Pa,2025-09-01
GG002008th,"e same patient, same day",2025-09-01
GH001007Di,agnostic mammogram converted from screening mammogram on same day             Di,2025-09-01
"GJ001007""o","pt out"" physician or practitioner emergency or urgent service                 Op",2025-09-01
GK001007Re,asonable and necessary item/service associated with a ga or gz modifier       Ac,2025-09-01
GL001007Me,"dically unnecessary upgrade provided instead of non-upgraded item, no charge, Up",2025-09-01
GL002008no,advance beneficiary notice (abn),2025-09-01
GM001007Mu,ltiple patients on one ambulance trip                                         Mu,2025-09-01
GN001007Se,rvices delivered under an outpatient speech language pathology plan of care   Op,2025-09-01
GO001007Se,rvices delivered under an outpatient occupational therapy plan of care        Op,2025-09-01
GP001007Se,rvices delivered under an outpatient physical therapy plan of care            Op,2025-09-01
GQ001007Vi,a asynchronous telecommunications system                                      Te,2025-09-01
GR001007Th,is service was performed in whole or in part by a resident in a department of Se,2025-09-01
GR002008ve,"terans affairs medical center or clinic, supervised in accordance with va",2025-09-01
GR003008po,licy,2025-09-01
GS001007Do,sage of erythropoietin stimulating agent has been reduced and maintained in   Ep,2025-09-01
GS002008re,sponse to hematocrit or hemoglobin level,2025-09-01
GT001007Vi,a interactive audio and video telecommunication systems                       In,2025-09-01
GU001007Wa,"iver of liability statement issued as required by payer policy, routine noticeLi",2025-09-01
GV001007At,tending physician not employed or paid under arrangement by the patient's     At,2025-09-01
GV002008ho,spice provider,2025-09-01
GW001007Se,rvice not related to the hospice patient's terminal condition                 Se,2025-09-01
GX001007No,"tice of liability issued, voluntary under payer policy                        Vo",2025-09-01
GY001007It,"em or service statutorily excluded, does not meet the definition of any       St",2025-09-01
GY002008me,"dicare benefit or, for non-medicare insurers, is not a contract benefit",2025-09-01
GZ001007It,em or service expected to be denied as not reasonable and necessary           No,2025-09-01
H9001007Co,urt-ordered                                                                   Co,2025-09-01
HA001007Ch,ild/adolescent program                                                        Ch,2025-09-01
HB001007Ad,"ult program, non geriatric                                                    Ad",2025-09-01
HC001007Ad,"ult program, geriatric                                                        Ad",2025-09-01
HD001007Pr,egnant/parenting women's program                                              Pr,2025-09-01
HE001007Me,ntal health program                                                           Me,2025-09-01
HF001007Su,bstance abuse program                                                         Su,2025-09-01
HG001007Op,ioid addiction treatment program                                              Op,2025-09-01
HH001007In,tegrated mental health/substance abuse program                                Me,2025-09-01
HI001007In,tegrated mental health and intellectual disability/developmental disabilities Me,2025-09-01
HI002008pr,ogram,2025-09-01
HJ001007Em,ployee assistance program                                                     Em,2025-09-01
HK001007Sp,ecialized mental health programs for high-risk populations                    Sp,2025-09-01
HL001007In,tern                                                                          In,2025-09-01
HM001007Le,ss than bachelor degree level                                                 Le,2025-09-01
HN001007Ba,chelors degree level                                                          Ba,2025-09-01
HO001007Ma,sters degree level                                                            Ma,2025-09-01
HP001007Do,ctoral level                                                                  Do,2025-09-01
HQ001007Gr,oup setting                                                                   Gr,2025-09-01
HR001007Fa,mily/couple with client present                                               Fa,2025-09-01
HS001007Fa,mily/couple without client present                                            Fa,2025-09-01
HT001007Mu,lti-disciplinary team                                                         Mu,2025-09-01
HU001007Fu,nded by child welfare agency                                                  Ch,2025-09-01
HV001007Fu,nded state addictions agency                                                  Fu,2025-09-01
HW001007Fu,nded by state mental health agency                                            St,2025-09-01
HX001007Fu,nded by county/local agency                                                   Co,2025-09-01
HY001007Fu,nded by juvenile justice agency                                               Fu,2025-09-01
HZ001007Fu,nded by criminal justice agency                                               Cr,2025-09-01
J1001007Co,mpetitive acquisition program no-pay submission for a prescription number     Ca,2025-09-01
J2001007Co,"mpetitive acquisition program, restocking of emergency drugs after emergency  Ca",2025-09-01
J2002008ad,ministration,2025-09-01
J3001007Co,"mpetitive acquisition program (cap), drug not available through cap as        Ca",2025-09-01
J3002008wr,"itten, reimbursed under average sales price methodology",2025-09-01
J4001007Dm,epos item subject to dmepos competitive bidding program that is furnished by  Dm,2025-09-01
J4002008a,hospital upon discharge,2025-09-01
J5001007Of,f-the-shelf orthotic subject to dmepos competitive bidding program that is    Dm,2025-09-01
J5002008fu,rnished as part of a physical therapist or occupational therapist,2025-09-01
J5003008pr,ofessional service,2025-09-01
JA001007Ad,ministered intravenously                                                      Ad,2025-09-01
JB001007Ad,ministered subcutaneously                                                     Ad,2025-09-01
JC001007Sk,in substitute used as a graft                                                 Sk,2025-09-01
JD001007Sk,in substitute not used as a graft                                             Sk,2025-09-01
JE001007Ad,ministered via dialysate                                                      Ad,2025-09-01
JF001007Co,mpounded drug                                                                 Co,2025-09-01
JG001007Dr,"ug or biological acquired with 340b drug pricing program discount, reported   34",2025-09-01
JG002008fo,r informational purposes,2025-09-01
JK001007On,e month supply or less of drug or biological                                  Dr,2025-09-01
JL001007Th,ree month supply of drug or biological                                        Dr,2025-09-01
JW001007Dr,ug amount discarded/not administered to any patient                           Di,2025-09-01
JZ001007Ze,ro drug amount discarded/not administered to any patient                      Ze,2025-09-01
K0001007Lo,wer extremity prosthesis functional level 0 - does not have the ability or    Lw,2025-09-01
K0002008po,tential to ambulate or transfer safely with or without assistance and a,2025-09-01
K0003008pr,osthesis does not enhance their quality of life or mobility.,2025-09-01
K1001007Lo,wer extremity prosthesis functional level 1 - has the ability or potential to Lw,2025-09-01
K1002008us,e a prosthesis for transfers or ambulation on level surfaces at fixed,2025-09-01
K1003008ca,dence. typical of the limited and unlimited household ambulator.,2025-09-01
K2001007Lo,wer extremity prosthesis functional level 2 - has the ability or potential    Lw,2025-09-01
K2002008fo,r ambulation with the ability to traverse low level environmental barriers,2025-09-01
K2003008su,"ch as curbs, stairs or uneven surfaces.  typical of the limited community",2025-09-01
K2004008am,bulator.,2025-09-01
K3001007Lo,wer extremity prosthesis functional level 3 - has the ability or potential    Lw,2025-09-01
K3002008fo,r ambulation with variable cadence.  typical of the community ambulator who,2025-09-01
K3003008ha,s the ability to transverse most environmental barriers and may have,2025-09-01
K3004008vo,"cational, therapeutic, or exercise activity that demands prosthetic",2025-09-01
K3005008ut,ilization beyond simple locomotion.,2025-09-01
K4001007Lo,wer extremity prosthesis functional level 4 - has the ability or potential    Lw,2025-09-01
K4002008fo,"r prosthetic ambulation that exceeds the basic ambulation skills, exhibiting",2025-09-01
K4003008hi,"gh impact, stress, or energy levels, typical of the prosthetic demands of the",2025-09-01
K4004008ch,"ild, active adult, or athlete.",2025-09-01
KA001007Ad,d on option/accessory for wheelchair                                          Wh,2025-09-01
KB001007Be,"neficiary requested upgrade for abn, more than 4 modifiers identified on claim>4",2025-09-01
KC001007Re,placement of special power wheelchair interface                               Re,2025-09-01
KD001007Dr,ug or biological infused through dme                                          Dr,2025-09-01
KE001007Bi,d under round one of the dmepos competitive bidding program for use with      Bi,2025-09-01
KE002008no,n-competitive bid base equipment,2025-09-01
KF001007It,em designated by fda as class iii device                                      Fd,2025-09-01
KG001007Dm,epos item subject to dmepos competitive bidding program number 1              Dm,2025-09-01
KH001007Dm,"epos item, initial claim, purchase or first month rental                      Dm",2025-09-01
KI001007Dm,"epos item, second or third month rental                                       Dm",2025-09-01
KJ001007Dm,"epos item, parenteral enteral nutrition (pen) pump or capped rental, months   Dm",2025-09-01
KJ002008fo,ur to fifteen,2025-09-01
KK001007Dm,epos item subject to dmepos competitive bidding program number 2              Dm,2025-09-01
KL001007Dm,epos item delivered via mail                                                  Dm,2025-09-01
KM001007Re,placement of facial prosthesis including new impression/moulage               Rp,2025-09-01
KN001007Re,placement of facial prosthesis using previous master model                    Rp,2025-09-01
KO001007Si,ngle drug unit dose formulation                                               Si,2025-09-01
KP001007Fi,rst drug of a multiple drug unit dose formulation                             Fi,2025-09-01
KQ001007Se,cond or subsequent drug of a multiple drug unit dose formulation              2n,2025-09-01
KR001007Re,"ntal item, billing for partial month                                          Re",2025-09-01
KS001007Gl,ucose monitor supply for diabetic beneficiary not treated with insulin        Gl,2025-09-01
KT001007Be,neficiary resides in a competitive bidding area and travels outside that      It,2025-09-01
KT002008co,mpetitive bidding area and receives a competitive bid item,2025-09-01
KU001007Dm,epos item subject to dmepos competitive bidding program number 3              Dm,2025-09-01
KV001007Dm,epos item subject to dmepos competitive bidding program that is furnished as  Dm,2025-09-01
KV002008pa,rt of a professional service,2025-09-01
KW001007Dm,epos item subject to dmepos competitive bidding program number 4              Dm,2025-09-01
KX001007Re,quirements specified in the medical policy have been met                      Do,2025-09-01
KY001007Dm,epos item subject to dmepos competitive bidding program number 5              Dm,2025-09-01
KZ001007Ne,w coverage not implemented by managed care                                    Ne,2025-09-01
L1001007Pr,ovider attestation that the hospital laboratory test(s) is not packaged under Se,2025-09-01
L1002008th,e hospital opps,2025-09-01
LC001007Le,ft circumflex coronary artery                                                 Lf,2025-09-01
LD001007Le,ft anterior descending coronary artery                                        Le,2025-09-01
LL001007Le,ase/rental (use the 'll' modifier when dme equipment rental is to be applied  Le,2025-09-01
LL002008ag,ainst the purchase price),2025-09-01
LM001007Le,ft main coronary artery                                                       Le,2025-09-01
LR001007La,boratory round trip                                                           La,2025-09-01
LS001007Fd,a-monitored intraocular lens implant                                          Fd,2025-09-01
LT001007Le,ft side (used to identify procedures performed on the left side of the body)  Le,2025-09-01
LU001007Fr,actionated payment                                                            Fr,2025-09-01
M2001007Me,dicare secondary payer (msp)                                                  Me,2025-09-01
MA001007Or,dering professional is not required to consult a clinical decision support    Em,2025-09-01
MA002008me,chanism due to service being rendered to a patient with a suspected or,2025-09-01
MA003008co,nfirmed emergency medical condition,2025-09-01
MB001007Or,dering professional is not required to consult a clinical decision support    Au,2025-09-01
MB002008me,chanism due to the significant hardship exception of insufficient internet,2025-09-01
MB003008ac,cess,2025-09-01
MC001007Or,dering professional is not required to consult a clinical decision support    Au,2025-09-01
MC002008me,chanism due to the significant hardship exception of electronic health record,2025-09-01
MC003008or,clinical decision support mechanism vendor issues,2025-09-01
MD001007Or,dering professional is not required to consult a clinical decision support    Au,2025-09-01
MD002008me,chanism due to the significant hardship exception of extreme and,2025-09-01
MD003008un,controllable circumstances,2025-09-01
ME001007Th,e order for this service adheres to appropriate use criteria in the clinical  Or,2025-09-01
ME002008de,cision support mechanism consulted by the ordering professional,2025-09-01
MF001007Th,e order for this service does not adhere to the appropriate use criteria in   Or,2025-09-01
MF002008th,e clinical decision support mechanism consulted by the ordering professional,2025-09-01
MG001007Th,e order for this service does not have applicable appropriate use criteria in Au,2025-09-01
MG002008th,e qualified clinical decision support mechanism consulted by the ordering,2025-09-01
MG003008pr,ofessional,2025-09-01
MH001007Un,known if ordering professional consulted a clinical decision support          Au,2025-09-01
MH002008me,"chanism for this service, related information was not provided to the",2025-09-01
MH003008fu,rnishing professional or provider,2025-09-01
MS001007Si,x month maintenance and servicing fee for reasonable and necessary parts and  6-,2025-09-01
MS002008la,bor which are not covered under any manufacturer or supplier warranty,2025-09-01
N1001007Gr,oup 1 oxygen coverage criteria met                                            Gr,2025-09-01
N2001007Gr,oup 2 oxygen coverage criteria met                                            Gr,2025-09-01
N3001007Gr,oup 3 oxygen coverage criteria met                                            Gr,2025-09-01
NB001007Ne,"bulizer system, any type, fda-cleared for use with specific drug              Dr",2025-09-01
NR001007Ne,w when rented (use the 'nr' modifier when dme which was new at the time of    Ne,2025-09-01
NR002008re,ntal is subsequently purchased),2025-09-01
NU001007Ne,w equipment                                                                   Ne,2025-09-01
P1001007A,normal healthy patient                                                        No,2025-09-01
P2001007A,patient with mild systemic disease                                            Pa,2025-09-01
P3001007A,patient with severe systemic disease                                          Pa,2025-09-01
P4001007A,patient with severe systemic disease that is a constant threat to life        Pt,2025-09-01
P5001007A,moribund patient who is not expected to survive without the operation         Pt,2025-09-01
P6001007A,declared brain-dead patient whose organs are being removed for donor purposes Br,2025-09-01
PA001007Su,rgical or other invasive procedure on wrong body part                         Su,2025-09-01
PB001007Su,rgical or other invasive procedure on wrong patient                           Su,2025-09-01
PC001007Wr,ong surgery or other invasive procedure on patient                            Wr,2025-09-01
PD001007Di,agnostic or related non diagnostic item or service provided in a wholly owned In,2025-09-01
PD002008or,operated entity to a patient who is admitted as an inpatient within 3 days,2025-09-01
PI001007Po,sitron emission tomography (pet) or pet/computed tomography (ct) to inform    Pe,2025-09-01
PI002008th,e initial treatment strategy of tumors that are biopsy proven or strongly,2025-09-01
PI003008su,spected of being cancerous based on other diagnostic testing,2025-09-01
PL001007Pr,ogressive addition lenses                                                     Pr,2025-09-01
PM001007Po,st mortem                                                                     Po,2025-09-01
PN001007No,"n-excepted service provided at an off-campus, outpatient, provider-based      No",2025-09-01
PN002008de,partment of a hospital,2025-09-01
PO001007Ex,"cepted service provided at an off-campus, outpatient, provider-based          Ex",2025-09-01
PO002008de,partment of a hospital,2025-09-01
PS001007Po,sitron emission tomography (pet) or pet/computed tomography (ct) to inform    Pe,2025-09-01
PS002008th,e subsequent treatment strategy of cancerous tumors when the beneficiary's,2025-09-01
PS003008tr,eating physician determines that the pet study is needed to inform subsequent,2025-09-01
PS004008an,ti-tumor strategy,2025-09-01
PT001007Co,lorectal cancer screening test; converted to diagnostic test or other         Cl,2025-09-01
PT002008pr,ocedure,2025-09-01
Q0001007In,vestigational clinical service provided in a clinical research study that is  In,2025-09-01
Q0002008in,an approved clinical research study,2025-09-01
Q1001007Ro,utine clinical service provided in a clinical research study that is in an    Ro,2025-09-01
Q1002008ap,proved clinical research study,2025-09-01
Q2001007De,monstration procedure/service                                                 De,2025-09-01
Q3001007Li,ve kidney donor surgery and related services                                  Li,2025-09-01
Q4001007Se,rvice for ordering/referring physician qualifies as a service exemption       Sv,2025-09-01
Q5001007Se,rvice furnished under a reciprocal billing arrangement by a substitute        Re,2025-09-01
Q5002008ph,ysician or by a substitute physical therapist furnishing outpatient physical,2025-09-01
Q5003008th,"erapy services in a health professional shortage area, a medically",2025-09-01
Q5004008un,"derserved area, or a rural area",2025-09-01
Q6001007Se,rvice furnished under a fee-for-time compensation arrangement by a substitute Fe,2025-09-01
Q6002008ph,ysician or by a substitute physical therapist furnishing outpatient physical,2025-09-01
Q6003008th,"erapy services in a health professional shortage area, a medically",2025-09-01
Q6004008un,"derserved area, or a rural area",2025-09-01
Q7001007On,e class a finding                                                             On,2025-09-01
Q8001007Tw,o class b findings                                                            Tw,2025-09-01
Q9001007On,e class b and two class c findings                                            1,2025-09-01
QA001007Pr,escribed amounts of stationary oxygen for daytime use while at rest and       Av,2025-09-01
QA002008ni,ghttime use differ and the average of the two amounts is less than 1 liter,2025-09-01
QA003008pe,r minute (lpm),2025-09-01
QB001007Pr,escribed amounts of stationary oxygen for daytime use while at rest and       Av,2025-09-01
QB002008ni,ghttime use differ and the average of the two amounts exceeds 4 liters per,2025-09-01
QB003008mi,nute (lpm) and portable oxygen is prescribed,2025-09-01
QC001007Si,ngle channel monitoring                                                       Si,2025-09-01
QD001007Re,cording and storage in solid state memory by a digital recorder               Rc,2025-09-01
QE001007Pr,escribed amount of stationary oxygen while at rest is less than 1 liter per   St,2025-09-01
QE002008mi,nute (lpm),2025-09-01
QF001007Pr,escribed amount of stationary oxygen while at rest exceeds 4 liters per       St,2025-09-01
QF002008mi,nute (lpm) and portable oxygen is prescribed,2025-09-01
QG001007Pr,escribed amount of stationary oxygen while at rest is greater than 4 liters   St,2025-09-01
QG002008pe,r minute (lpm),2025-09-01
QH001007Ox,ygen conserving device is being used with an oxygen delivery system           Ox,2025-09-01
QJ001007Se,"rvices/items provided to a prisoner or patient in state or local custody,     Pa",2025-09-01
QJ002008ho,"wever the state or local government, as applicable, meets the requirements in",2025-09-01
QJ00300842,cfr 411.4 (b),2025-09-01
QK001007Me,"dical direction of two, three, or four concurrent anesthesia procedures       Me",2025-09-01
QK002008in,volving qualified individuals,2025-09-01
QL001007Pa,tient pronounced dead after ambulance called                                  Pa,2025-09-01
QM001007Am,bulance service provided under arrangement by a provider of services          Am,2025-09-01
QN001007Am,bulance service furnished directly by a provider of services                  Am,2025-09-01
QP001007Do,cumentation is on file showing that the laboratory test(s) was ordered        In,2025-09-01
QP002008in,dividually or ordered as a cpt-recognized panel other than automated profile,2025-09-01
QP003008co,"des 80002-80019, g0058, g0059, and g0060.",2025-09-01
QQ001007Or,dering professional consulted a qualified clinical decision support mechanism Qu,2025-09-01
QQ002008fo,r this service and the related data was provided to the furnishing,2025-09-01
QQ003008pr,ofessional,2025-09-01
